InvoiceNo;Order
Invoice166;turkey,herb & pepper,ground beef,soup,avocado,milk,black tea,eggs,barbecue sauce,carrots,cookies,tomato juice,fresh bread
Invoice167;cookies
Invoice168;escalope
Invoice169;pepper,french fries,strawberries,pancakes,low fat yogurt
Invoice170;frozen vegetables,yams,chicken,honey,light mayo
Invoice171;chocolate,champagne
Invoice172;herb & pepper,honey,cake,rice,protein bar
Invoice173;burgers,chocolate,frozen vegetables,ground beef,mineral water,milk,light mayo,asparagus
Invoice174;chocolate,mineral water,corn,cottage cheese,green tea
Invoice175;muffins
Invoice176;ham,french wine,escalope
Invoice177;spaghetti,milk,whole wheat rice,mint green tea
Invoice178;chocolate,body spray
Invoice179;frozen vegetables,french fries,hot dogs
Invoice180;candy bars
Invoice181;burgers,shrimp,pasta,milk,green tea,french fries,cookies,white wine
Invoice182;parmesan cheese,ground beef
Invoice183;pancakes,whole wheat rice,candy bars
Invoice184;eggs,eggplant,cookies
Invoice185;frozen vegetables,mineral water
Invoice186;chocolate
Invoice187;turkey,spaghetti,milk,whole wheat rice,chocolate
Invoice188;whole wheat pasta,ground beef,spaghetti,soup,meatballs,chicken,blueberries,cooking oil,champagne,yogurt cake,protein bar
Invoice189;cooking oil,tomato juice
Invoice190;frozen vegetables,milk,eggs,french fries,green tea
Invoice191;fresh tuna,spaghetti,olive oil,french wine,eggs,french fries,champagne,pancakes,light mayo
Invoice192;red wine,honey,hot dogs
Invoice193;milk,bacon,eggs,french fries,fresh bread
Invoice194;french fries,yogurt cake
Invoice195;milk
Invoice196;french fries
Invoice197;chocolate
Invoice198;burgers,ham,red wine
Invoice199;shrimp,pasta,tomatoes,energy bar,french wine,antioxydant juice,french fries,frozen smoothie,brownies
Invoice200;green tea
Invoice201;low fat yogurt
Invoice202;turkey,spaghetti,mineral water,soup,spinach,soda,energy drink,salt
Invoice203;turkey,eggs
Invoice204;bug spray,hot dogs
Invoice205;oil
Invoice206;soup,energy bar,chicken,eggs,cake,french fries,body spray,strawberries
Invoice207;spaghetti,chocolate,yogurt cake
Invoice208;turkey,mineral water,meatballs
Invoice209;ground beef,mineral water,chocolate,fromage blanc,bacon,hot dogs
Invoice210;frozen vegetables,mineral water,vegetables mix,escalope
Invoice211;herb & pepper,red wine,tomatoes
Invoice212;whole wheat pasta,olive oil,cereals,brownies,green tea
Invoice213;cookies
Invoice214;olive oil,cookies,mushroom cream sauce
Invoice215;ground beef,pancakes,cooking oil,gluten free bar,light mayo
Invoice216;mineral water,french fries
Invoice217;herb & pepper
Invoice218;salmon
Invoice219;eggs,escalope
Invoice220;mineral water,tomato juice
Invoice221;mineral water
Invoice222;shrimp,mineral water,soup,black tea
Invoice223;cake,frozen smoothie
Invoice224;turkey,burgers,grated cheese,tomatoes,chocolate,fromage blanc,honey,whole wheat rice
Invoice225;frozen vegetables,ground beef,mineral water,olive oil,pancakes
Invoice226;turkey,burgers,ground beef,milk,olive oil,cake,fresh bread
Invoice227;whole wheat pasta,ground beef,spaghetti,yams,mineral water,soup,chutney,cereals,energy drink,protein bar
Invoice228;eggs,whole wheat rice,cake,green tea,escalope
Invoice229;ground beef,yams,soup,avocado,salmon,green tea
Invoice230;milk
Invoice231;spaghetti,chocolate
Invoice232;whole wheat pasta,honey
Invoice233;whole wheat pasta,green tea
Invoice234;spaghetti,meatballs,vegetables mix,chocolate
Invoice235;eggs,low fat yogurt
Invoice236;fresh tuna,shrimp,pasta,mineral water,olive oil,eggs,cake,brownies,tomato juice
Invoice237;mineral water,green grapes,hot dogs,fresh bread
Invoice238;frozen vegetables,meatballs,eggs,chocolate
Invoice239;chocolate
Invoice240;meatballs,milk
Invoice241;low fat yogurt
Invoice242;green tea
Invoice243;escalope,pasta
Invoice244;pepper,chocolate,olive oil,french wine,salmon,rice,light mayo,fresh bread,magazines
Invoice245;red wine,french wine,vegetables mix,rice,clothes accessories,hot dogs,green tea
Invoice246;burgers,dessert wine,spaghetti,chicken,cake,protein bar,green tea
Invoice247;french wine,cake,fresh bread
Invoice248;burgers,frozen vegetables,flax seed,eggs
Invoice249;red wine
Invoice250;pepper,mineral water,energy bar,green grapes
Invoice251;milk,eggs,cake,chocolate,french fries,green tea
Invoice252;french fries
Invoice253;almonds
Invoice254;burgers,mineral water,green tea
Invoice255;milk,pancakes
Invoice256;pancakes,eggs,salt,tomato juice
Invoice257;mineral water
Invoice258;ham,spaghetti,mineral water,olive oil
Invoice259;salt,tomato juice,fresh bread
Invoice260;spaghetti,mushroom cream sauce
Invoice261;spaghetti,mineral water,eggs,pet food
Invoice262;frozen vegetables,spaghetti
Invoice263;energy drink
Invoice264;muffins
Invoice265;turkey,milk
Invoice266;cookies
Invoice267;chocolate
Invoice268;spaghetti,mineral water,eggs,cooking oil,chocolate,escalope
Invoice269;shrimp,frozen vegetables,pepper,spaghetti,green tea
Invoice270;burgers,fresh tuna,red wine,mineral water,french fries,hand protein bar,low fat yogurt
Invoice271;pancakes,eggs,energy drink,fresh bread
Invoice272;strong cheese,salmon,green tea,french fries,frozen smoothie,hot dogs
Invoice273;grated cheese,shrimp,pasta,tomatoes,milk,frozen smoothie,sandwich
Invoice274;herb & pepper,whole wheat pasta,olive oil,pancakes,eggs
Invoice275;spaghetti,antioxydant juice
Invoice276;chocolate,milk,almonds,eggs,strawberries,white wine
Invoice277;french fries,strawberries
Invoice278;mineral water
Invoice279;eggs
Invoice280;escalope
Invoice281;cake
Invoice282;whole wheat pasta,antioxydant juice,body spray,green tea
Invoice283;mineral water,oil,frozen smoothie
Invoice284;french fries,champagne
Invoice285;chocolate,french fries
Invoice286;frozen vegetables,spaghetti,eggs
Invoice287;hot dogs
Invoice288;chocolate,cookies
Invoice289;pancakes
Invoice290;shrimp,butter,chicken,salmon
Invoice291;chocolate,cookies,babies food
Invoice292;pepper,spaghetti,cake,chocolate,french fries,fresh bread
Invoice293;avocado,oil,cereals,french fries
Invoice294;herb & pepper,spaghetti,mineral water,spinach,eggs,oil,cooking oil,green tea,shampoo,tomato juice,low fat yogurt
Invoice295;herb & pepper,frozen vegetables,ground beef,pepper,spaghetti,mint green tea,french fries
Invoice296;french fries
Invoice297;green tea,tomato juice
Invoice298;eggs,whole wheat rice,chocolate
Invoice299;grated cheese,herb & pepper,red wine,spaghetti,mineral water,salmon,eggs,cooking oil,green tea
Invoice300;french fries,cookies,shallot,tomato juice,fresh bread,low fat yogurt
Invoice301;burgers,fresh tuna,spaghetti,muffins,honey
Invoice302;herb & pepper,ground beef,spaghetti,eggs,chicken
Invoice303;grated cheese,muffins,tomato juice,mayonnaise
Invoice304;whole wheat pasta,yams,mineral water,muffins,frozen smoothie,hot dogs,energy drink
Invoice305;burgers,spaghetti,soup,milk,olive oil,salmon,eggs,blueberries
Invoice306;chocolate,champagne,magazines
Invoice307;frozen vegetables,spaghetti,yams,mineral water,french wine,green grapes,rice,chocolate
Invoice308;tomato sauce,chocolate
Invoice309;milk,eggs
Invoice310;pet food
Invoice311;yogurt cake
Invoice312;green tea
Invoice313;escalope,pasta
Invoice314;herb & pepper,ground beef
Invoice315;mineral water,honey,brownies
Invoice316;turkey,eggs,cake,energy drink
Invoice317;turkey,burgers,dessert wine,ground beef,soup,salmon,eggs,gums,tomato juice,candy bars
Invoice318;spaghetti,mineral water,chicken
Invoice319;turkey,ground beef,carrots,french fries,melons
Invoice320;mineral water,eggs,low fat yogurt
Invoice321;turkey,cooking oil,shampoo
Invoice322;spaghetti,hot dogs
Invoice323;chocolate,green tea
Invoice324;grated cheese,pepper,mineral water,chocolate,eggs,cake,mashed potato,tomato juice
Invoice325;chocolate
Invoice326;spaghetti,olive oil,strong cheese,pancakes
Invoice327;red wine,mineral water,soup,rice,cookies
Invoice328;red wine,shrimp,spaghetti
Invoice329;green tea
Invoice330;mineral water,chicken,french fries,frozen smoothie
Invoice331;muffins
Invoice332;cake,chocolate
Invoice333;fresh tuna,tomatoes,mineral water,soup,avocado,meatballs,olive oil
Invoice334;turkey,french fries
Invoice335;burgers,turkey,herb & pepper,ground beef,pancakes,eggs,light cream,rice,champagne,fresh bread
Invoice336;escalope
Invoice337;chocolate,escalope,fresh bread
Invoice338;ham,spaghetti,french wine,vegetables mix,chocolate,french fries
Invoice339;avocado,light mayo
Invoice340;spaghetti,yams,butter,chocolate
Invoice341;energy bar,eggs,french fries
Invoice342;fresh tuna,barbecue sauce,eggplant
Invoice343;energy drink
Invoice344;whole wheat rice,french fries,hot dogs,green tea
Invoice345;mineral water,chicken,green tea
Invoice346;eggs,cake,mushroom cream sauce
Invoice347;escalope
Invoice348;antioxydant juice,escalope
Invoice349;shrimp,spaghetti,french fries
Invoice350;grated cheese,spaghetti,salmon,tomato juice
Invoice351;spaghetti,green tea
Invoice352;champagne,protein bar
Invoice353;mineral water,avocado,chocolate
Invoice354;tomatoes,champagne,green tea
Invoice355;chicken,french fries,escalope
Invoice356;frozen vegetables,tomatoes,eggs,green tea,frozen smoothie,light mayo
Invoice357;ground beef,chicken,cider,green grapes,honey,chocolate,french fries,champagne,frozen smoothie,escalope
Invoice358;french fries,champagne
Invoice359;mineral water,soup
Invoice360;frozen vegetables,spaghetti,milk,chocolate,babies food
Invoice361;honey,whole wheat rice
Invoice362;whole wheat rice,chicken,tomato juice
Invoice363;pancakes
Invoice364;green tea,protein bar,tomato juice,candy bars
Invoice365;french fries
Invoice366;mineral water
Invoice367;escalope
Invoice368;grated cheese,herb & pepper,whole wheat pasta,yams,mineral water,bacon,nonfat milk,spinach
Invoice369;spaghetti,milk
Invoice370;milk,chocolate,white wine
Invoice371;sandwich
Invoice372;chocolate,light mayo
Invoice373;shrimp,whole wheat pasta,spaghetti,meatballs,chicken,frozen smoothie,tomato juice
Invoice374;red wine,ground beef,spaghetti,mineral water,eggs
Invoice375;yams,melons
Invoice376;spaghetti,cooking oil
Invoice377;french fries
Invoice378;mineral water,milk,spinach,cooking oil,chocolate,frozen smoothie,hot dogs
Invoice379;tomato sauce,milk
Invoice380;shrimp,cider,eggs,french fries
Invoice381;champagne
Invoice382;salad
Invoice383;french fries
Invoice384;frozen vegetables,mineral water,energy bar,honey,rice,green tea
Invoice385;french fries,salad
Invoice386;honey,chocolate,french fries,brownies
Invoice387;green tea,strawberries,gluten free bar
Invoice388;frozen vegetables,ground beef,mineral water,salmon,honey,extra dark chocolate,green tea,mushroom cream sauce,gluten free bar
Invoice389;grated cheese,tomatoes,mineral water,meatballs
Invoice390;shrimp,chocolate,water spray
Invoice391;turkey
Invoice392;turkey,eggs
Invoice393;turkey,frozen vegetables,tomatoes,soup,butter,french wine,pancakes,eggs,tomato juice,fresh bread,green tea
Invoice394;spaghetti
Invoice395;milk,frozen smoothie,low fat yogurt
Invoice396;burgers,mineral water,milk,whole wheat rice,cereals,chocolate,french fries
Invoice397;mineral water
Invoice398;tomatoes,mineral water,soup,cake,chocolate
Invoice399;mineral water
Invoice400;ground beef,spaghetti
Invoice401;pepper,frozen smoothie
Invoice402;yogurt cake
Invoice403;red wine,pancakes
Invoice404;candy bars
Invoice405;eggs,french fries,low fat yogurt
Invoice406;cookies
Invoice407;cookies
Invoice408;spaghetti,soup,vegetables mix,spinach,french fries,escalope,cauliflower,toothpaste
Invoice409;cookies
Invoice410;soup,olive oil,eggs,soda,corn
Invoice411;chocolate,frozen smoothie,low fat yogurt
Invoice412;spaghetti,mineral water,milk,pancakes,chocolate,french fries
Invoice413;mineral water
Invoice414;herb & pepper,frozen vegetables,tomato sauce,mineral water,soup,milk,olive oil,almonds
Invoice415;burgers,eggs
Invoice416;french fries
Invoice417;frozen smoothie,cottage cheese
Invoice418;tomatoes,mineral water,chocolate,light mayo
Invoice419;salmon,escalope,shallot,strawberries,fresh bread,low fat yogurt
Invoice420;energy bar
Invoice421;red wine,ground beef,spaghetti,pancakes,blueberries,oil,cooking oil,tomato juice
Invoice422;ground beef,spaghetti,mineral water,milk,frozen smoothie,champagne
Invoice423;cookies
Invoice424;salmon,escalope
Invoice425;cookies
Invoice426;low fat yogurt
Invoice427;eggs
Invoice428;red wine,butter,hot dogs
Invoice429;tomatoes,mineral water,soup,mashed potato
Invoice430;cookies
Invoice431;parmesan cheese,ground beef,salmon,pancakes,champagne
Invoice432;ground beef,yams,chocolate,olive oil,eggs
Invoice433;shrimp,salmon,eggs,cookies,hot dogs
Invoice434;magazines,mint
Invoice435;turkey,mineral water,eggs,cooking oil,extra dark chocolate,escalope
Invoice436;mineral water,mushroom cream sauce
Invoice437;grated cheese,frozen vegetables,mineral water,soup,milk,french wine
Invoice438;chocolate,cake
Invoice439;burgers,salt,white wine
Invoice440;energy drink
Invoice441;olive oil,cake,energy drink
Invoice442;ground beef,whole wheat rice
Invoice443;eggs,french fries
Invoice444;spaghetti,escalope,mushroom cream sauce
Invoice445;mineral water,fromage blanc,whole wheat rice,cake,french fries
Invoice446;turkey,burgers,frozen vegetables,ground beef,mineral water,milk,eggs,cake,light mayo
Invoice447;green tea,cottage cheese
Invoice448;fresh tuna,eggs,champagne
Invoice449;cookies
Invoice450;cookies
Invoice451;cookies
Invoice452;tomatoes,mineral water,eggplant
Invoice453;grated cheese,tomatoes,spaghetti,mineral water,soup,honey,chicken,chocolate,french fries
Invoice454;protein bar
Invoice455;herb & pepper,red wine,shrimp,mineral water,barbecue sauce,protein bar
Invoice456;burgers,ham,spaghetti,mineral water,milk,eggs,french fries,escalope,pancakes,low fat yogurt
Invoice457;french fries
Invoice458;frozen vegetables,soup,milk,eggs,whole wheat rice,chocolate,escalope,melons
Invoice459;spaghetti
Invoice460;herb & pepper,shrimp,soup,eggs,oil,cooking oil,energy drink,protein bar,low fat yogurt
Invoice461;ham,grated cheese,herb & pepper,shrimp,ground beef,spaghetti,mineral water,carrots
Invoice462;ham,red wine,ground beef,yams,mineral water,chocolate,low fat yogurt
Invoice463;chocolate,french fries,mushroom cream sauce,cottage cheese,low fat yogurt
Invoice464;eggs
Invoice465;cake,cookies
Invoice466;grated cheese,mineral water,cake,chocolate bread
Invoice467;tomatoes,almonds,cake,champagne,low fat yogurt
Invoice468;herb & pepper,shrimp,frozen vegetables,milk,butter,salmon,eggs,chocolate
Invoice469;herb & pepper,shrimp,whole wheat pasta,whole wheat rice,chicken,green tea,cauliflower
Invoice470;eggs,corn
Invoice471;shrimp,frozen vegetables,tomato sauce,mineral water,chocolate,soup,olive oil,salmon,green beans,champagne
Invoice472;ham,herb & pepper,tomato sauce,mineral water,green grapes,eggs,gums,light cream,oil,green tea,mint
Invoice473;energy bar,cake,chocolate
Invoice474;herb & pepper,shrimp,spaghetti,eggs
Invoice475;fresh tuna,mineral water,honey,cooking oil
Invoice476;red wine,mineral water,oil,ketchup,chili,pet food,eggplant,green tea,escalope,tomato juice,low fat yogurt
Invoice477;herb & pepper,shrimp,mineral water,pancakes,eggs,cake,blueberries,tea,frozen smoothie
Invoice478;ground beef,mineral water,protein bar
Invoice479;shrimp,frozen vegetables,parmesan cheese,spaghetti,salmon,carrots,frozen smoothie,pasta,mashed potato,shallot,light mayo,magazines
Invoice480;milk,chocolate
Invoice481;frozen vegetables,ground beef,spaghetti,olive oil,whole wheat rice,eggplant,cottage cheese
Invoice482;turkey,ground beef,low fat yogurt
Invoice483;herb & pepper,spaghetti,mineral water,whole wheat rice,cake,hot dogs,green tea
Invoice484;green tea
Invoice485;cookies
Invoice486;eggs,cookies
Invoice487;spaghetti,eggs,ham,chocolate,french fries,champagne,brownies,pancakes,light mayo
Invoice488;red wine,spaghetti,milk,eggs,chocolate
Invoice489;turkey,burgers,pancakes,french fries,strawberries,green tea
Invoice490;escalope
Invoice491;frozen vegetables,pancakes,eggs,cake
Invoice492;french fries
Invoice493;turkey,ground beef,pepper,spaghetti,honey,cookies
Invoice494;chocolate,red wine,tomato sauce,olive oil,chili,french fries,cookies,salt,fresh bread,magazines
Invoice495;green tea,french fries
Invoice496;mineral water
Invoice497;cooking oil
Invoice498;frozen vegetables,spaghetti
Invoice499;ham,spaghetti
Invoice500;chicken,chocolate,cookies
Invoice501;low fat yogurt
Invoice502;eggs,cake,low fat yogurt
Invoice503;shrimp,spaghetti,mineral water,soup,milk,bramble,frozen smoothie,cottage cheese
Invoice504;mineral water,eggs,protein bar
Invoice505;turkey,shrimp,meatballs,butter,eggs,salad,green tea
Invoice506;fresh tuna,spaghetti,chocolate,olive oil,chicken,french fries
Invoice507;turkey,shrimp,escalope,hot dogs
Invoice508;burgers,pepper,soup,milk,pancakes,green tea
Invoice509;pancakes
Invoice510;mineral water,pancakes,eggs,french fries
Invoice511;eggs,escalope,low fat yogurt
Invoice512;mineral water,french wine,gluten free bar
Invoice513;burgers,ground beef,spaghetti,eggs,french fries
Invoice514;soup,meatballs,milk,energy bar
Invoice515;chocolate
Invoice516;herb & pepper
Invoice517;turkey,red wine,mineral water,eggs,bramble
Invoice518;burgers,ham,frozen vegetables,tomatoes,cake,chicken,green tea,toothpaste,mint
Invoice519;grated cheese,mineral water,olive oil,energy bar
Invoice520;milk,cake,green tea
Invoice521;mineral water,almonds,cooking oil,cereals,protein bar,white wine,green tea
Invoice522;turkey,fresh tuna,mineral water,milk,eggs,cake,burger sauce,chicken,french fries,frozen smoothie,fresh bread
Invoice523;herb & pepper,mineral water,whole wheat rice,yogurt cake,low fat yogurt
Invoice524;tomatoes,spaghetti,meatballs,chicken,eggs
Invoice525;burgers,mineral water,eggs,green tea,pancakes
Invoice526;cake,green tea
Invoice527;chocolate,herb & pepper,yogurt cake
Invoice528;ground beef,spaghetti,mineral water,almonds,salmon,nonfat milk,green grapes,pancakes
Invoice529;mineral water,vegetables mix,eggs
Invoice530;protein bar
Invoice531;eggs,eggplant
Invoice532;mayonnaise
Invoice533;milk,bug spray,oatmeal,sandwich,asparagus
Invoice534;frozen vegetables,soup,almonds,eggs,french fries
Invoice535;frozen vegetables
Invoice536;soup,butter,shampoo
Invoice537;herb & pepper,whole wheat pasta,pepper,eggs
Invoice538;mineral water,whole wheat rice,rice,cooking oil,chocolate,fresh bread,low fat yogurt
Invoice539;grated cheese,butter,chocolate,french fries,cookies
Invoice540;spaghetti,soup,milk,chutney,cooking oil,asparagus,tomato juice
Invoice541;eggs,french fries,frozen smoothie,cookies,champagne,cottage cheese,green tea
Invoice542;turkey,tomatoes,mineral water,eggs,blueberries
Invoice543;milk,tomato juice,low fat yogurt,green tea
Invoice544;mineral water,soup,almonds,cereals,green tea
Invoice545;chocolate,light mayo
Invoice546;turkey,herb & pepper,chocolate
Invoice547;eggs,french fries,green tea
Invoice548;mineral water,cake,chocolate,tomato juice
Invoice549;eggs
Invoice550;chocolate,pepper,spaghetti,mineral water,whole wheat rice,champagne,mushroom cream sauce
Invoice551;frozen vegetables,pepper,mineral water,chocolate,white wine
Invoice552;burgers,turkey,spaghetti,milk,whole wheat rice,oil,tomato juice,green tea
Invoice553;burgers,spaghetti,mineral water,soup,french wine,french fries,light mayo,low fat yogurt
Invoice554;butter,green grapes,frozen smoothie,low fat yogurt
Invoice555;eggs,low fat yogurt
Invoice556;cookies
Invoice557;milk,energy drink
Invoice558;olive oil,energy drink
Invoice559;eggs,cookies
Invoice560;eggs
Invoice561;energy bar,eggs
Invoice562;eggs
Invoice563;eggs,green tea
Invoice564;escalope
Invoice565;shrimp,soup,milk,almonds,eggs,oil,chocolate
Invoice566;chocolate,french fries
Invoice567;cake
Invoice568;pancakes,eggs,cake,green tea,toothpaste
Invoice569;herb & pepper,tomatoes,ground beef,eggs,cooking oil
